sample_id,sample,site_id,depth,date,QC,month,Sampling Time,Filter Start,Filter End,Filter Volume (ml),Tidal State (low/ebb/slack/flood/high),Notes,Entered by,Date of DNA extraction,Tech,DNA sample location
MIAWe087,Sample,WB,Surface,2024-05-13,AS,May,13:51,13:52,14:11,1000,high,,chad/levi,,,
MIAWe088,Sample,WB,Surface,2024-05-13,AS,May,14:43,13:03,13:24,1000,high,,chad/levi,,,
MIAWe089,Sample,WB,Surface,2024-05-13,AS,May,14:50,13:31,13:44,1000,high,,chad/levi,,,
MIAWe090,Control,WB,NA,2024-05-13,AS,May,14:30,14:49,14:56,1000,high,,chad/levi,,,
MIAWe001,Sample,FC1,10,2024-05-15,AS,May,10:12,10:30,11:57,1000,low,,chad/levi,,,
MIAWe002,Sample,FC1,10,2024-05-15,AS,May,10:12,10:45,11:42,1000,low,,chad/levi,,,
MIAWe003,Sample,FC1,10,2024-05-15,AS,May,10:12,10:39,11:53,1000,low,,chad/levi,,,
MIAWe004,Sample,FC1,100,2024-05-15,AS,May,11:15,11:20,12:45,1000,low,,chad/levi,,,
MIAWe005,Sample,FC2,10,2024-05-15,AS,May,12:40,13:27,14:30,1000,half,,chad/levi,,,
MIAWe006,Control,FC1,NA,2024-05-15,AS,May,11:31,11:32,12:45,1000,low,,chad/levi,,,
MIAWe007,Sample,FC1,100,2024-05-15,AS,May,11:15,11:30,12:45,1000,low,,chad/levi,,,
MIAWe008,Sample,FC2,10,2024-05-15,AS,May,12:55,13:33,14:30,1000,half,,chad/levi,,,
MIAWe009,Sample,FC1,100,2024-05-15,AS,May,11:15,11:26,12:45,1000,low,,chad/levi,,,
MIAWe010,Sample,FC2,10,2024-05-15,AS,May,12:55,13:37,14:30,1000,half,,chad/levi,,,
MIAWe011,Sample,FC2,100,2024-05-15,AS,May,12:55,13:48,15:10,1000,half,,chad/levi,,,
MIAWe012,Sample,FC2,100,2024-05-15,AS,May,12:55,13:45,15:10,1000,half,,chad/levi,,,
MIAWe013,Sample,FC2,100,2024-05-15,AS,May,12:55,14:30,15:10,1000,half,,chad/levi,,,
MIAWe015,Control,OC1,NA,2024-05-16,AS,May,NA,12:06,13:30,1000,low,,chad/levi,,,
MIAWe016,Sample,OC1,100,2024-05-16,AS,May,11:58,12:18,13:30,1000,low,,chad/levi,,,
MIAWe017,Sample,OC1,100,2024-05-16,AS,May,11:58,12:19,13:30,1000,low,,chad/levi,,,
MIAWe018,Sample,OC1,100,2024-05-16,AS,May,11:58,12:16,13:30,1000,low,,chad/levi,,,
MIAWe034,Sample,OC1,10,2024-05-16,AS,May,11:25,11:57,13:30,1000,low,,chad/levi,,,
MIAWe035,Sample,OC1,10,2024-05-16,AS,May,11:25,12:00,13:30,1000,low,,chad/levi,,,
MIAWe036,Sample,OC1,10,2024-05-16,AS,May,11:25,11:59,13:30,1000,low,,chad/levi,,,
MIAWe014,Control,FC4,NA,2024-05-23,AS,May,10:32,11:26,13:55,1000,high,,chad/levi,,,
MIAWe028,Sample,FC4,10,2024-05-23,AS,May,10:32,11:26,13:31,1000,high,,chad/levi,,,
MIAWe029,Sample,FC4,10,2024-05-23,AS,May,10:32,11:26,13:22,1000,high,,chad/levi,,,
MIAWe030,Sample,FC4,10,2024-05-23,AS,May,10:32,11:26,13:12,1000,high,,chad/levi,,,
MIAWe031,Sample,FC4,100,2024-05-23,AS,May,10:32,11:26,13:07,1000,high,,chad/levi,,,
MIAWe032,Sample,FC4,100,2024-05-23,AS,May,10:32,11:26,12:56,1000,high,,chad/levi,,,
MIAWe033,Sample,FC4,100,2024-05-23,AS,May,10:32,11:26,13:01,1000,high,,chad/levi,,,
MIAWe019,Control,FC3,NA,2024-05-30,AS,May,23:39,2406,14:00,1000,slack,,chad/levi,,,
MIAWe020,Sample,FC3,10,2024-05-30,AS,May,23:39,13:33,14:20,1000,haft,,chad/levi,,,
MIAWe022,Sample,FC3,100,2024-05-30,AS,May,23:39,13:33,14:20,1000,haft,,chad/levi,,,
MIAWe023,Sample,FC3,10,2024-05-30,AS,May,23:39,13:33,14:20,1000,haft,,chad/levi,,,
MIAWe024,Sample,FC3,100,2024-05-30,AS,May,23:39,13:33,14:20,1000,haft,,chad/levi,,,
MIAWe025,Sample,FC3,10,2024-05-30,AS,May,23:39,13:33,14:20,1000,haft,,chad/levi,,,
MIAWe026,Sample,FC3,100,2024-05-30,AS,May,23:39,13:33,14:20,1000,haft,,chad/levi,,,
MIAWe063,Control,WB,NA,2024-06-19,AS,June,8:15,8:20,8:36,1000,high,,chad/levi,,,
MIAWe064,Sample,WB,Surface,2024-06-19,AS,June,10:20,10:25,12:00,1000,high,,chad/levi,,,
MIAWe065,Sample,WB,Surface,2024-06-19,AS,June,8:40,8:42,10:21,1000,high,,chad/levi,,,
MIAWe056,Sample,OC3,10,2024-07-02,AS,July,12:00,13:35,15:35,1000,slack,,chad/levi,,,
MIAWe058,Sample,OC3,100,2024-07-02,AS,July,12:00,13:15,15:35,1000,slack,,chad/levi,,,
MIAWe059,Sample,OC3,10,2024-07-02,AS,July,,,,,,,,,,
MIAWe060,Sample,OC3,100,2024-07-02,AS,July,12:00,13:15,15:35,1000,slack,,chad/levi,,,
MIAWe062,Control,OC3,NA,2024-07-02,AS,July,12:00,13:35,15:35,1000,slack,,chad/levi,,,
MIAWe040,Sample,OC3,100,2024-07-03,AS,July,15:00,15:30,15:35,1000,slack,,chad/levi,,,
MIAWe042,Sample,OC3,100,2024-07-03,AS,July,15:00,15:30,15:35,1000,slack,,chad/levi,,,
MIAWe046,Sample,OC3,10,2024-07-03,AS,July,15:00,15:30,15:35,1000,slack,,chad/levi,,,
MIAWe047,Sample,OC4,10,2024-07-03,AS,July,0:45,13:20,15:35,1000,slack,,chad/levi,,,
MIAWe048,Sample,OC3,10,2024-07-03,AS,July,15:00,15:30,15:35,1000,slack,,chad/levi,,,
MIAWe049,Sample,OC3,10,2024-07-03,AS,July,15:00,15:30,15:35,1000,slack,,chad/levi,,,
MIAWe050,Control,OC3,NA,2024-07-03,AS,July,15:00,15:30,15:35,1000,slack,,chad/levi,,,
MIAWe051,Control,OC4,NA,2024-07-03,AS,July,0:45,13:20,15:35,1000,slack,,chad/levi,,,
MIAWe052,Sample,OC3,100,2024-07-03,AS,July,15:00,15:30,15:35,1000,slack,,chad/levi,,,
MIAWe053,Sample,OC4,100,2024-07-03,AS,July,15:00,15:30,15:35,1000,slack,,chad/levi,,,
MIAWe054,Sample,OC4,10,2024-07-03,AS,July,0:45,13:20,15:35,1000,slack,,chad/levi,,,
MIAWe055,Sample,OC4,100,2024-07-03,AS,July,15:00,15:30,15:35,1000,slack,filter came off in with the water in  the bucket,chad/levi,,,
MIAWe057,Sample,OC4,100,2024-07-03,AS,July,15:00,15:30,15:35,1000,slack,,chad/levi,,,
MIAWe061,Sample,OC4,10,2024-07-03,AS,July,0:45,13:20,15:35,1000,slack,,chad/levi,,,
MIAWe072,Control,WB,NA,2024-07-31,AS,July,11:33,11:35,11:42,1000,mid,,chad/levi,,,
MIAWe074,Sample,WB,Surface,2024-07-31,AS,July,10:30,10:39,11:04,1000,mid,,chad/levi,,,
MIAWe075,Sample,WB,Surface,2024-07-31,AS,July,11:09,11:12,11:30,1000,mid,,chad/levi,,,
MIAWe066,Sample,OC4,100,2024-08-16,AS,August,1443,1600,1730,1000,high,,CHAD/LEVI,,,
MIAWe067,Sample,OC4,100,2024-08-16,AS,August,1443,1600,1730,1000,high,,,,,
MIAWe068,Sample,OC4,10,2024-08-16,AS,August,1443,1600,1730,1000,high ,,CHAD/LEVI,,,
MIAWe069,Sample,OC4,100,2024-08-16,AS,August,1443,1600,1730,1000,high,,,,,
MIAWe070,Sample,OC4,10,2024-08-16,AS,August,1443,1600,1730,1000,high,,,,,
MIAWe071,Sample,OC4,10,2024-08-16,AS,August,1443,1443,1730,1000,high,,,,,
MIAWe073,Control,OC4,NA,2024-08-16,AS,August,1443,1600,1730,1000,high,,CHAD/LEVI,,,
MIAWe021,Sample,WB,Surface,2024-08-29,AS,August,850,856,815,1000,high,,,,,
MIAWe027,Sample,WB,Surface,2024-08-29,AS,August,923,925,945,1000,high,,,,,
MIAWe039,Sample,WB,Surface,2024-08-29,AS,August,947,951,1015,1000,high,,,,,
no number,Control,WB,NA,2024-08-29,,August,1022,1021,1020,1000,high,,chad\levi,,,
MIAWe037,Control,OC3,100,2024-09-12,AS,September,12:07,13:22,15:30,1000,mid ,,chad//levi,,,
MIAWe038,Sample,OC3,100,2024-09-12,AS,September,12:07,13:22,15:30,1000,mid ,,,,,
MIAWe041,Sample,OC3,10,2024-09-12,AS,September,12:07,13:22,15:30,1000,mid ,,,,,
MIAWe043,Sample,OC3,10,2024-09-12,AS,September,12:07,13:22,15:30,1000,mid ,,,,,
MIAWe044,Sample,OC3,100,2024-09-12,AS,September,12:07,13:22,15:30,1000,mid ,,,,,
MIAWe082,Sample,OC3,10,2024-09-12,AS,September,12:07,13:22,15:30,1000,mid ,,,,,
MIAWe086,Sample,OC3,100,2024-09-12,AS,September,12:07,13:22,15:30,1000,mid,,,,,
1,Sample,OC2,10,2024-09-18,,September,1200,1457,1505,1000,high,,,,,
2,Sample,OC2,10,2024-09-18,,September,1200,1457,1505,1000,high,,,,,
3,Sample,OC2,100,2024-09-18,,September,1200,1457,1505,1000,high,,,,,
4,Sample,OC2,100,2024-09-18,,September,1200,1457,1505,1000,high,,,,,
5,Sample,OC2,100,2024-09-18,,September,1200,1457,1505,1000,high,,,,,
MIAWe076,Sample,OC1,10,2024-09-18,AS,September,1300,1457,1505,1000,high,,,,,
MIAWe077,Sample,OC1,10,2024-09-18,AS,September,1200,1457,1505,1000,high,,,,,
MIAWe078,Control,OC2,NA,2024-09-18,AS,September,1200,1457,1505,1000,high,,,,,
MIAWe079,Control,OC1,NA,2024-09-18,AS,September,1300,1457,1505,1000,high,,,,,
